#
# Partners Country Offer info
#
# This file controls which Offer may be send to a customer, based on that
# customer's billing country and the Partner status of the sending user.
#
# Important note: billing_country+offer_level form the primary key to
# the entries and thus must be unique. Please retain this sort ordering.
#
# Fields:
# offer_type: Either OT_SPEND_X_GET_Y or OT_VIDEO
# billing_country: The 2 letter code for the customer's billing country
# offer_level: There should be a BASIC and a PARTNER for each country
# campaign_id: Campaign id ("Group ID") in incentives.
# auth_key: Authorization key for this campaign_id. Should always be 143900 for Partners.
# pre_currency_symbol: Symbol to place before the monetary amount
# post_currency_symbol: Symbol to place after the monetary amount
# spend_x_amount: Amount customer must spend
# get_y_amount: Amount customer receives
# currency_code: Code for the currency
# max_account_age: How young the customer account must be.
# expiration_date: When the offer expires
#
# See //java/com/google/partners/util/CountryOfferInfoLineParser.java for further details
# on the expected format of this file. Within an offer_level, every line should have
# the save value for campaign_id, auth_key and max_account_age.
#
# For formatting convenience, extra spaces may trail the separating commas if the
# field values are enclosed in double quote.
#
# Country codes are found in //java/com/google/partners/ui/service/geo/Country.java.
#
# Basic AdWords incentives are defined at   https://incentives.corp.google.com/#/groups/104301/details/none/none
# Partner AdWords incentives are defined at https://incentives.corp.google.com/#/groups/103503/details/none/none
#
# .. except for CA, which now has separate campaigns:
# Canada basic:    https://incentives.corp.google.com/#/groups/110704/details/none/none
# Canada Partners: https://incentives.corp.google.com/#/groups/111206/details/none/none
#
# Video incentives are currently available for US only:
#   https://incentives.corp.google.com/#/groups/120807/details/none/none
#
# Currently we support 67 countries.
#
offer_type,billing_country,offer_level,campaign_id,auth_key,pre_currency_symbol,post_currency_symbol,spend_x_amount,get_y_amount,currency_code,max_account_age,expiration_date
"OT_SPEND_X_GET_Y","EG","BASIC",  "104301","143900",  "LE",    "",        "50",   "150",    "EG","21","12/31/2015"
"OT_SPEND_X_GET_Y","EG","PARTNER","103503","143900",  "LE",    "",        "50",   "150",    "EG","21","12/31/2015"
"OT_SPEND_X_GET_Y","ES","BASIC",  "104301","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","ES","PARTNER","103503","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","FI","BASIC",  "104301","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","FI","PARTNER","103503","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","FR","BASIC",  "104301","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","FR","PARTNER","103503","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","GB","BASIC",  "104301","143900",   "£",    "",        "25",    "75",   "GBP","21","12/31/2015"
"OT_SPEND_X_GET_Y","GB","PARTNER","103503","143900",   "£",    "",        "25",    "75",   "GBP","21","12/31/2015"
"OT_SPEND_X_GET_Y","GR","BASIC",  "104301","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","GR","PARTNER","103503","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","HK","BASIC",  "104301","143900",   "Hk",   "",       "100",   "400",   "HKD","21","12/31/2015"
"OT_SPEND_X_GET_Y","HK","PARTNER","103503","143900",   "Hk",   "",       "100",   "400",   "HKD","21","12/31/2015"
"OT_SPEND_X_GET_Y","HR","BASIC",  "104301","143900",    "","kuna",       "100",   "400",    "HR","21","12/31/2015"
"OT_SPEND_X_GET_Y","HR","PARTNER","103503","143900",    "","kuna",       "100",   "400",    "HR","21","12/31/2015"
"OT_SPEND_X_GET_Y","HU","BASIC",  "104301","143900",  "Ft",    "",      "5000", "15000",    "HU","21","12/31/2015"
"OT_SPEND_X_GET_Y","HU","PARTNER","103503","143900",  "Ft",    "",      "5000", "15000",    "HU","21","12/31/2015"
"OT_SPEND_X_GET_Y","ID","BASIC",  "104301","143900",  "Rp",    "",    "150000","450000",    "ID","21","12/31/2015"
"OT_SPEND_X_GET_Y","ID","PARTNER","103503","143900",  "Rp",    "",    "150000","450000",    "ID","21","12/31/2015"
"OT_SPEND_X_GET_Y","IE","BASIC",  "104301","143900",   "€",    "",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","IE","PARTNER","103503","143900",   "€",    "",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","IL","BASIC",  "104301","143900",   "₪",    "",       "100",   "300",    "IL","21","12/31/2015"
"OT_SPEND_X_GET_Y","IL","PARTNER","103503","143900",   "₪",    "",       "100",   "300",    "IL","21","12/31/2015"
"OT_SPEND_X_GET_Y","IN","BASIC",  "104301","143900",  "Rs",    "",       "500",  "2000",    "IN","21","12/31/2015"
"OT_SPEND_X_GET_Y","IN","PARTNER","103503","143900",  "Rs",    "",       "500",  "2000",    "IN","21","12/31/2015"
"OT_SPEND_X_GET_Y","IT","BASIC",  "104301","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","IT","PARTNER","103503","143900",    "",   "€",        "25",    "75",   "EUR","21","12/31/2015"
"OT_SPEND_X_GET_Y","JO","BASIC",  "104301","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","JO","PARTNER","103503","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","JP","BASIC",  "104301","143900",   "¥",    "",      "2500",  "7500",   "JPY","21","12/31/2015"
"OT_SPEND_X_GET_Y","JP","PARTNER","103503","143900",   "¥",    "",      "2500",  "7500",   "JPY","21","12/31/2015"
"OT_SPEND_X_GET_Y","LB","BASIC",  "104301","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","LB","PARTNER","103503","143900",   "$",    "",        "25",    "75",   "USD","21","12/31/2015"
"OT_SPEND_X_GET_Y","LK","BASIC",  "104301","143900",   "$",    "",        "15",    "45",   "USD","21","12/31/2015"
